Rank	Score	ORPHA_ID	Disease_Name	Matched_Phenotype	Causative_Gene
1	1.0	ORPHA:1084	isolated lissencephaly type 1 without known genetic defects	HP:0001250	
1	1.0	ORPHA:289504	combined malonic and methylmalonic acidemia	HP:0001250	ACSF3
1	1.0	ORPHA:468631	microcephalic primordial dwarfism due to RTTN deficiency	HP:0001250	RTTN
1	1.0	ORPHA:438178	fatty acyl-CoA reductase 1 deficiency	HP:0001250	FAR1
1	1.0	ORPHA:457359	megalencephaly-severe kyphoscoliosis-overgrowth syndrome	HP:0002069	HERC1
1	1.0	ORPHA:459070	X-linked intellectual disability-cerebellar hypoplasia-spondylo-epiphyseal dysplasia syndrome	HP:0001250	RPL10
1	1.0	ORPHA:444013	combined oxidative phosphorylation defect type 23	HP:0001250	GTPBP3
1	1.0	ORPHA:500144	early-onset progressive encephalopathy-hearing loss-pons hypoplasia-brain atrophy syndrome	HP:0001250	TRAPPC12
1	1.0	ORPHA:324410	X-linked intellectual disability-cardiomegaly-congestive heart failure syndrome	HP:0001250	CLIC2
1	1.0	ORPHA:544488	neurodevelopmental disorder with alopecia and brain abnormalities	HP:0001250	ODC1
1	1.0	ORPHA:488632	hypotonia, infantile, with psychomotor retardation and characteristic facies 3	HP:0001250	TBCK
1	1.0	ORPHA:481152	hypomyelinating leukodystrophy 10	HP:0001250	PYCR2
1	1.0	ORPHA:163956	syndromic X-linked intellectual disability Nascimento type	HP:0001250	UBE2A
1	1.0	ORPHA:457240	X-linked intellectual disability-short stature-overweight syndrome	HP:0001250	THOC2
1	1.0	ORPHA:352682	cobblestone lissencephaly without muscular or ocular involvement	HP:0001250	LAMB1,TMTC3
1	1.0	ORPHA:230851	Ehlers-Danlos syndrome, cardiac valvular type	HP:0001250	COL1A2
1	1.0	ORPHA:85323	X-linked intellectual disability, Seemanova type	HP:0001250	
1	1.0	ORPHA:364028	syndromic X-linked intellectual disability 94	HP:0001250	GRIA3
1	1.0	ORPHA:263410	infantile spams-psychomotor retardation-progressive brain atrophy-basal ganglia disease syndrome	HP:0001250	SLC19A3
1	1.0	ORPHA:513456	Skraban-Deardorff syndrome	HP:0001250	WDR26
1	1.0	ORPHA:480880	X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability	HP:0001250	USP9X
1	1.0	ORPHA:163721	rolandic epilepsy-speech dyspraxia syndrome	HP:0001250	GRIN2A,SRPX2
1	1.0	ORPHA:293725	blepharophimosis - intellectual disability syndrome, Verloes type	HP:0001250	
1	1.0	ORPHA:363528	intellectual disability-strabismus syndrome	HP:0001250	ADAT3
1	1.0	ORPHA:137898	leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome	HP:0001250	DARS2
1	1.0	ORPHA:468620	intellectual disability-epilepsy-extrapyramidal syndrome	HP:0001250	DEAF1
1	1.0	ORPHA:30391	biliary atresia	HP:0001250	
1	1.0	ORPHA:457351	microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome	HP:0001250	AFG2A
1	1.0	ORPHA:459061	developmental delay with short stature, dysmorphic facial features, and sparse hair 1	HP:0001250	DPH2,DPH1
1	1.0	ORPHA:371364	hypotonia, infantile, with psychomotor retardation and characteristic facies	HP:0001250	UNC80,NALCN
1	1.0	ORPHA:65683	isolated focal cortical dysplasia	HP:0001250	
1	1.0	ORPHA:464288	short stature-brachydactyly-obesity-global developmental delay syndrome	HP:0001250	PRMT7
1	1.0	ORPHA:397933	intellectual disability, X-linked 1	HP:0001250	IQSEC2
1	1.0	ORPHA:263487	COG5-congenital disorder of glycosylation	HP:0001250	COG5
1	1.0	ORPHA:544254	intellectual disability, autosomal dominant 5	HP:0002197	SYNGAP1
1	1.0	ORPHA:502434	intellectual disability, autosomal dominant 47	HP:0001250	STAG1
1	1.0	ORPHA:488627	severe growth deficiency-strabismus-extensive dermal melanocytosis-intellectual disability syndrome	HP:0001250	PUS3
1	1.0	ORPHA:363659	20q11.2 microduplication syndrome	HP:0001250	
1	1.0	ORPHA:495818	9q33.3q34.11 microdeletion syndrome	HP:0001250	LMX1B,STXBP1
1	1.0	ORPHA:168577	hereditary cryohydrocytosis with reduced stomatin	HP:0001250	SLC2A1
1	1.0	ORPHA:468699	SLC39A8-CDG	HP:0001250	SLC39A8
1	1.0	ORPHA:329224	Schuurs-Hoeijmakers syndrome	HP:0001250	PACS1
1	1.0	ORPHA:480864	recurrent metabolic encephalomyopathic crises-rhabdomyolysis-cardiac arrhythmia-intellectual disability syndrome	HP:0001250	TANGO2
1	1.0	ORPHA:542306	gnb5-related intellectual disability-cardiac arrhythmia syndrome	HP:0001250	GNB5
1	1.0	ORPHA:500180	childhood-onset motor and cognitive regression syndrome with extrapyramidal movement disorder	HP:0001250	UBTF
1	1.0	ORPHA:352577	severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome	HP:0001250	ASXL3
1	1.0	ORPHA:319675	Seckel syndrome 7	HP:0001250	NIN
1	1.0	ORPHA:289390	Sjogren syndrome	HP:0001250	
1	1.0	ORPHA:90065	acquired aneurysmal subarachnoid hemorrhage	HP:0001250	
1	1.0	ORPHA:494344	neurodevelopmental disorder with or without anomalies of the brain, eye, or heart	HP:0001250	RERE
1	1.0	ORPHA:457284	Houge-Janssens syndrome 2	HP:0001250	PPP2R1A
1	1.0	ORPHA:357001	chromosome 19p13.13 deletion syndrome	HP:0001250	
1	1.0	ORPHA:500055	Hao-Fountain syndrome due to 16p13.2 microdeletion	HP:0001250	USP7
1	1.0	ORPHA:300305	11p15.4 microduplication syndrome	HP:0001250	
1	1.0	ORPHA:85290	syndromic X-linked intellectual disability 12	HP:0001250	
1	1.0	ORPHA:505652	developmental and epileptic encephalopathy, 2	HP:0007359	CDKL5
1	1.0	ORPHA:466791	syndromic X-linked intellectual disability 34	HP:0001250	NONO
1	1.0	ORPHA:457205	infantile-onset axonal motor and sensory neuropathy-optic atrophy-neurodegenerative syndrome	HP:0002069	
1	1.0	ORPHA:423479	X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome	HP:0002069	PRPS1
1	1.0	ORPHA:485350	intellectual disability, X-linked 49	HP:0001250	CLCN4
1	1.0	ORPHA:447997	spastic tetraplegia-thin corpus callosum-progressive postnatal microcephaly syndrome	HP:0002069	SLC1A4
1	1.0	ORPHA:329178	congenital muscular dystrophy with intellectual disability and severe epilepsy	HP:0002123	DPM2
1	1.0	ORPHA:280384	recessive intellectual disability-motor dysfunction-multiple joint contractures syndrome	HP:0002373	ERLIN2
1	1.0	ORPHA:541423	growth retardation, intellectual developmental disorder, hypotonia, and hepatopathy	HP:0001250	IARS1
1	1.0	ORPHA:488642	TELO2-related intellectual disability-neurodevelopmental disorder	HP:0001250	TELO2
1	1.0	ORPHA:456312	neurologic, endocrine, and pancreatic disease, multisystem, infantile-onset 1	HP:0002123	PTRH2
1	1.0	ORPHA:289266	early-onset epileptic encephalopathy and intellectual disability due to GRIN2A mutation	HP:0002069	GRIN2A
1	1.0	ORPHA:466943	DeSanto-Shinawi syndrome	HP:0001250	WAC
1	1.0	ORPHA:457279	Hogue-Janssens syndrome 1	HP:0001250	PPP2R5D
1	1.0	ORPHA:391408	primary microcephaly-mild intellectual disability-young-onset diabetes syndrome	HP:0001250	TRMT10A,PPP1R15B
1	1.0	ORPHA:284417	PSAT deficiency	HP:0001250	PSAT1
1	1.0	ORPHA:356996	intellectual disability-hypotonia-spasticity-sleep disorder syndrome	HP:0001250	ANK3
1	1.0	ORPHA:508533	skeletal dysplasia-T-cell immunodeficiency-developmental delay syndrome	HP:0001250	EXTL3
1	1.0	ORPHA:439822	chromosome 5q12 deletion syndrome	HP:0001250	PDE4D
1	1.0	ORPHA:443811	immunodeficiency 23	HP:0001250	PGM3
1	1.0	ORPHA:221139	combined immunodeficiency with faciooculoskeletal anomalies	HP:0002123	PIK3CD,KNSTRN
1	1.0	ORPHA:543470	optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome	HP:0001250	FDXR
1	1.0	ORPHA:480907	intellectual disability, X-linked, syndromic 33	HP:0001250	TAF1
1	1.0	ORPHA:404451	FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome	HP:0012469	FBLN1
1	1.0	ORPHA:254519	multiple congenital anomalies due to 14q32.2 maternally expressed gene defect	HP:0001250	
1	1.0	ORPHA:85288	X-linked intellectual disability, Stocco dos Santos type	HP:0001250	SHROOM4
1	1.0	ORPHA:466768	Charcot-Marie-Tooth disease axonal type 2Z	HP:0001250	MORC2
1	1.0	ORPHA:68	amoebiasis due to free-living amoebae	HP:0001250	
1	1.0	ORPHA:447980	19p13.3 microduplication syndrome	HP:0002373	NFIX
1	1.0	ORPHA:250972	polymicrogyria with optic nerve hypoplasia	HP:0001250	TUBA8
1	1.0	ORPHA:438213	PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome	HP:0001250	
1	1.0	ORPHA:459074	corpus callosum agenesis-macrocephaly-hypertelorism syndrome	HP:0002197	
1	1.0	ORPHA:397612	macrocephaly-developmental delay syndrome	HP:0001250	KPTN
1	1.0	ORPHA:453510	congenital insensitivity to pain with severe intellectual disability	HP:0002069	CLTCL1
1	1.0	ORPHA:411986	developmental and epileptic encephalopathy, 23	HP:0002121	DOCK7
1	1.0	ORPHA:544503	developmental and epileptic encephalopathy, 73	HP:0001250	RNF13
1	1.0	ORPHA:488635	intellectual disability, autosomal recessive 53	HP:0001250	PIGG
1	1.0	ORPHA:352490	autism spectrum disorder due to AUTS2 deficiency	HP:0001250	AUTS2
1	1.0	ORPHA:324737	SRD5A3-congenital disorder of glycosylation	HP:0001250	SRD5A3
1	1.0	ORPHA:163961	X-linked cerebral-cerebellar-coloboma syndrome syndrome	HP:0001250	
1	1.0	ORPHA:363686	severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome	HP:0002121	GATAD2B
1	1.0	ORPHA:391372	intellectual disability-severe speech delay-mild dysmorphism syndrome	HP:0001250	FOXP1
1	1.0	ORPHA:356961	SLC35A2-congenital disorder of glycosylation	HP:0001250	SLC35A2
1	1.0	ORPHA:477774	combined oxidative phosphorylation defect type 27	HP:0002123	CARS2
1	1.0	ORPHA:369837	multiple congenital anomalies-hypotonia-seizures syndrome 3	HP:0002069	PIGT
1	1.0	ORPHA:357225	primary non-essential cutis verticis gyrata	HP:0001250	
1	1.0	ORPHA:500545	neurodevelopmental disorder with epilepsy, cataracts, feeding difficulties, and delayed brain myelination	HP:0001250	NACC1
1	1.0	ORPHA:464738	congenital cataract-microcephaly-nevus flammeus simplex-severe intellectual disability syndrome	HP:0001250	MED25
1	1.0	ORPHA:300573	complex cortical dysplasia with other brain malformations 7	HP:0001250	TUBB2B
1	1.0	ORPHA:261323	21q22.11q22.12 microdeletion syndrome	HP:0001250	KIF15
1	1.0	ORPHA:420561	Temple-Baraitser syndrome	HP:0001250	KCNH1
1	1.0	ORPHA:397941	MAN1B1-congenital disorder of glycosylation	HP:0001250	MAN1B1
1	1.0	ORPHA:95232	lissencephaly due to LIS1 mutation	HP:0001250	PAFAH1B1
1	1.0	ORPHA:280071	ALG11-congenital disorder of glycosylation	HP:0001250	ALG11
1	1.0	ORPHA:500533	polyhydramnios, megalencephaly, and symptomatic epilepsy	HP:0001250	STRADA
1	1.0	ORPHA:453499	neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome	HP:0001250	HNRNPK
1	1.0	ORPHA:313781	20p13 microdeletion syndrome	HP:0001250	
1	1.0	ORPHA:357058	autosomal recessive cutis laxa type 2A	HP:0001250	ATP6V0A2
1	1.0	ORPHA:487796	macrothrombocytopenia-lymphedema-developmental delay-facial dysmorphism-camptodactyly syndrome	HP:0001250	CDC42
1	1.0	ORPHA:95428	COG8-congenital disorder of glycosylation	HP:0001250	COG8
1	1.0	ORPHA:530983	Lamb-Shaffer syndrome	HP:0001250	SOX5
1	1.0	ORPHA:401777	Bosch-Boonstra-Schaaf optic atrophy syndrome	HP:0001250	NR2F1
1	1.0	ORPHA:319671	microcephalic primordial dwarfism, Alazami type	HP:0001250	LARP7
1	1.0	ORPHA:96148	distal 10q deletion syndrome	HP:0001250	EBF3
1	1.0	ORPHA:79156	seizures-intellectual disability due to hydroxylysinuria syndrome	HP:0002123	
1	1.0	ORPHA:79237	galactokinase deficiency	HP:0001250	GALK1
1	1.0	ORPHA:391417	HSD10 mitochondrial disease	HP:0001250	HSD17B10
1	1.0	ORPHA:135	leukoencephalopathy with vanishing white matter	HP:0001250	
1	1.0	ORPHA:79233	hypoxanthine guanine phosphoribosyltransferase partial deficiency	HP:0001250	HPRT1
1	1.0	ORPHA:397709	autosomal recessive spinocerebellar ataxia 20	HP:0001250	SNX14
1	1.0	ORPHA:2149	nodular neuronal heterotopia	HP:0001250	
1	1.0	ORPHA:35701	3-hydroxy-3-methylglutaryl-CoA synthase deficiency	HP:0001250	HMGCS2
1	1.0	ORPHA:2798	pachygyria-intellectual disability-epilepsy syndrome	HP:0001250	
1	1.0	ORPHA:85294	epilepsy, X-linked 1, with variable learning disabilities and behavior disorders	HP:0001250	SYN1
1	1.0	ORPHA:79328	ALG9-congenital disorder of glycosylation	HP:0001250	ALG9
1	1.0	ORPHA:79330	MOGS-congenital disorder of glycosylation	HP:0001250	MOGS
1	1.0	ORPHA:1062	hereditary neurocutaneous angioma	HP:0001250	
1	1.0	ORPHA:3052	X-linked intellectual disability-seizures-psoriasis syndrome	HP:0001250	
1	1.0	ORPHA:3233	cochleosaccular degeneration-cataract syndrome	HP:0001250	
1	1.0	ORPHA:2148	lissencephaly type 1 due to doublecortin gene mutation	HP:0001250	DCX
1	1.0	ORPHA:1313	infantile choroidocerebral calcification syndrome	HP:0001250	
1	1.0	ORPHA:85338	X-linked intellectual disability-ataxia-apraxia syndrome	HP:0001250	
1	1.0	ORPHA:247262	hyperphosphatasia-intellectual disability syndrome	HP:0001250	PIGY,PIGO,PGAP2,PIGW,PIGL,PGAP3,PIGV
1	1.0	ORPHA:466926	seizures-scoliosis-macrocephaly syndrome	HP:0001250	EXT2
1	1.0	ORPHA:79326	ALG2-congenital disorder of glycosylation	HP:0001250	ALG2
1	1.0	ORPHA:26792	short chain acyl-CoA dehydrogenase deficiency	HP:0001250	ACADS
1	1.0	ORPHA:94083	Partington syndrome	HP:0001250	ARX
1	1.0	ORPHA:79323	MPDU1-congenital disorder of glycosylation	HP:0001250	MPDU1
1	1.0	ORPHA:382	guanidinoacetate methyltransferase deficiency	HP:0001250	GAMT
1	1.0	ORPHA:1708	mosaic trisomy 16	HP:0001250	
1	1.0	ORPHA:85336	X-linked neurodegenerative syndrome, Hamel type	HP:0001250	
1	1.0	ORPHA:419	hyperprolinemia type 1	HP:0001250	PRODH
1	1.0	ORPHA:404493	spinocerebellar ataxia, autosomal recessive 23	HP:0001250	TDP2
1	1.0	ORPHA:1949	benign neonatal seizures	HP:0002133	KCNQ2,KCNQ3
1	1.0	ORPHA:79322	congenital disorder of glycosylation type 1E	HP:0001250	DPM1
1	1.0	ORPHA:1380	cataract-nephropathy-encephalopathy syndrome	HP:0001250	
1	1.0	ORPHA:251028	2q33.1 microdeletion syndrome	HP:0001250	SATB2
1	1.0	ORPHA:2590	spinal muscular atrophy-progressive myoclonic epilepsy syndrome	HP:0001250	ASAH1
1	1.0	ORPHA:86309	DPAGT1-congenital disorder of glycosylation	HP:0001250	DPAGT1
1	1.0	ORPHA:1948	epilepsy-microcephaly-skeletal dysplasia syndrome	HP:0001250	
1	1.0	ORPHA:3175	X-linked spasticity-intellectual disability-epilepsy syndrome	HP:0002133	ARX
1	1.0	ORPHA:163727	rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	HP:0001250	TBC1D24
1	1.0	ORPHA:85319	X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome	HP:0001250	
1	1.0	ORPHA:2048	foix chavany Marie syndrome	HP:0001250	
1	1.0	ORPHA:1182	spastic ataxia 7	HP:0001250	
1	1.0	ORPHA:306550	FADD-related immunodeficiency	HP:0001250	FADD
1	1.0	ORPHA:2773	osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome	HP:0001250	
1	1.0	ORPHA:2151	Hirschsprung disease-ganglioneuroblastoma syndrome	HP:0001250	PHOX2B
1	1.0	ORPHA:79327	ALG1-congenital disorder of glycosylation	HP:0001250	ALG1
1	1.0	ORPHA:163985	developmental and epileptic encephalopathy, 8	HP:0002384	ARHGEF9
1	1.0	ORPHA:60015	parietal foramina	HP:0001250	ALX4,MSX2
1	1.0	ORPHA:263458	hyperinsulinism due to INSR deficiency	HP:0001250	INSR
1	1.0	ORPHA:2597	mitochondrial myopathy-lactic acidosis-deafness syndrome	HP:0001250	
1	1.0	ORPHA:166063	pontocerebellar hypoplasia type 4	HP:0001250	TSEN54
1	1.0	ORPHA:412069	AHDC1-related intellectual disability - obstructive sleep apnea - mild dysmorphism syndrome	HP:0001250	AHDC1
1	1.0	ORPHA:1229	pseudo-TORCH syndrome	HP:0001250	OCLN
